user_input,reference,reference_contexts,source,persona
징집되거나 소집된 사람의 복무에 관해서는 어떤 법률이 적용되나요?,징집 또는 소집되거나 지원에 의하여 입영한 사람의 복무 등에 관하여 이 법에서 규정된 것을 제외하고는 '군인사법'을 적용합니다.,"① 징집 또는 소집되거나 지원에 의하여 입영한 사람의 복무 등에 관하여 이 법에서 규정된
것을 제외하고는 「군인사법」을 적용한다. <개정 2019. 12. 31.>
② 대체역의 편입 및 복무 등에 필요한 사항은 「대체역의 편입 및 복무 등에 관한 법률」에 따른다.<신설 2019. 12.
31.>
[전문개정 2009. 6. 9.]
[제목개정 2019. 12. 31.]",neo4j,법령 확인 민원인
군 복무 중 발생한 고충사항은 어디에서 심사받을 수 있나요?,"군 복무 중 발생한 고충사항은 국방부에 설치된 고충심사위원회에서 심사받을 수 있습니다. 이 위원회는 국방부, 합동참모본부, 한미 연합사령부와 국방부 직할부대의 고충청구사항을 심사합니다.","① 국방부 및 각 군 본부에 설치하는 고충심사위원회는
위원장 1명을 포함한 위원 5명 이상 7명 이내로 구성하고, 위원은 해당 고충심사위원회가 설치되는 기관의 장(이
하 ""설치기관의 장""이라 한다)이 임명한다.
② 고충심사위원회의 위원장은 국방부는 군인권개선추진단장, 육ㆍ해ㆍ공군은 각 군 본부 인사참모부장으로 한
다.
③ 고충심사위원회의 운영은 인사업무를 담당하는 부서에서 관장하고, 위원회별로 간사 1명을 둔다.

법제처                                                            33                                                   국가법령정보센터
부대관리훈령
④ 국방부에 두는 고충심사위원회는 국방부ㆍ합동참모본부 및 한미 연합사령부와 국방부의 직할부대의 고충청
구사항을 심사한다.",neo4j,군 복무자
"""전사자""와 ""순직자""의 정의는 어떻게 다른가요?","""전사자""는 적과의 교전 또는 적의 행위, 무장폭동, 반란 등 치안 교란을 방지하기 위한 행위로 사망한 자를 의미합니다. 반면, ""순직자""는 군사작전 또는 교육훈련 등 공무로 인하여 사망한 자를 의미합니다.","이 장에서 사용하는 용어의 일반적 뜻은 다음 각 호와 같이 구분하며 세부 분류기준은「전공사상자처
리훈령」에 의한다.

법제처                                                            69                                                   국가법령정보센터
부대관리훈령
1. ""전사자""란 적과의 교전 또는 적의 행위로 인하여 사망하거나 무장폭동ㆍ반란 그 밖에 치안 교란을 방지하기
위한 행위로 인하여 사망한 자를 말한다.
2. ""순직자""란 군사작전 또는 교육훈련 등 공무로 인하여 사망한 자를 말한다.
3. ""일반사망자""란 제1호의 ""전사자"" 및 제2호의 ""순직자""이외에 군복무중 사망한 자를 말한다.
4. ""추모행사""란 전사 또는 순직한 인원 등에 대하여 그 공적을 기리고 애도를 표하는 행사를 말한다.
 
 제2장 장의의전 절차
 제1절 사망사고 발생시 조치",neo4j,법령 확인 민원인
군 복무 중 다문화적 가치에 대한 교육은 얼마나 자주 받게 되나요?,군인은 다문화적 가치의 존중과 이해를 위한 교육을 매년 1회 이상 받아야 합니다.,"① 군인은 다문화적 가치를 존중하여야 한다.
② 국방부장관은 군인에게 다문화적 가치의 존중과 이해를 위한 교육을 매년 1회 이상 실시하여야 한다.<개정
2019. 11. 26.>",neo4j,군 복무자
군인의 헌법상 권리는 어떤 경우에 제한될 수 있나요?,군인의 헌법상 권리는 법률에서 정한 군인의 의무에 따라 군사적 직무의 필요성 범위에서 제한될 수 있습니다.,"① 군인은 대한민국 국민으로서 일반 국민과 동일하게 헌법상 보장된 권리를 가진다.
② 제1항에 따른 권리는 법률에서 정한 군인의 의무에 따라 군사적 직무의 필요성 범위에서 제한될 수 있다.",neo4j,법령 확인 민원인
군 복무자의 경우에도 연봉 감액 기준이 적용되나요?,제공된 문서에는 군 복무자에 대한 연봉 감액 기준에 대한 내용은 포함되어 있지 않습니다. 해당 문서는 고위공무원의 연봉 감액에 관한 규정을 다루고 있습니다.,"① 직무성과급적 연봉제를 적용하는 고위공무원의 연봉 감액에 관하여는 제26조 및 제46조부터 제
48조까지의 규정을 준용한다. <개정 2023. 1. 6.>
② 제47조 또는 제48조를 준용하여 휴직 또는 직위해제로 인하여 직위가 부여되지 아니한 공무원의 연봉을 감액하
는 경우 그 기준이 되는 연봉은 휴직 또는 직위해제 당시의 직위를 기준으로 한다.
③ 제1항에 따른 감액과 제71조에 따른 감액이 중복되는 경우에는 감액 금액이 더 큰 기준을 적용하여 연봉을 감액
한다.
[전문개정 2009. 3. 31.]",neo4j,군 복무자
성고충전문상담관 운영에 대한 절차나 요건은 어떻게 되나요?,"문서에는 성고충전문상담관 운영에 대한 정보가 언급되어 있습니다. 구체적인 절차나 요건은 명시되어 있지 않지만, 성고충과 관련된 상담을 전문적으로 제공하는 제도로 이해할 수 있습니다.","-① 장기/연장복무제도
-② 대외부서 등 선발제도 및 절차
-③ 전과(병과 전환) 제도
-④ 표창 및 상훈제도
-⑤ 휴가 
-⑥ 성고충전문상담관 운영 
-⑦ 병영생활전문상담관 운영
-⑧ 국방헬프콜(1303)
-⑨ 군인권지키미
인사제도/근무 분야
01
Part",qdrant,법령 확인 민원인
군 복무 중인 병사로서 병 회원 저축 상품에 가입하려면 어떤 조건이 필요한가요?,"병 회원 저축 상품에 가입하기 위해서는 현역 및 만 34세 이하 예비역 병사여야 하며, 현역 시절에 가입 이력이 필요합니다. 가입 방법은 훈련소, 현역, 전역 후에 따라 모바일, 홈페이지, 방문 등으로 가능하며, 납입은 매월 급여일 자동공제 또는 가상계좌 자유납입으로 할 수 있습니다.","이 표는 **병(兵) 회원 저축(자유적립형)** 상품의 가입 조건과 납입·만기 구조를 정리한 것입니다. 주요 컬럼은 상품명, 가입대상(현역 및 만 34세 이하 예비역 병사, 현역 시절 가입 이력 필요), 가입방법(훈련소/현역/전역 후에 따라 모바일·홈페이지·방문 등), 납부방법(매월 급여일 자동공제 또는 가상계좌 자유납입)입니다.  

가입금액은 **월 1만원~150만원(1천원 단위)**이고, 가입기간은 **10년**으로 현역 복무기간과 전역 후 저축기간을 합산해 적용되며 **만 34세**와 10년 중 먼저 도래하는 시점에 만기됩니다. 이자율은 **연복리 4.9%(2025.7.1. 기준, 변동금리)**이며, **중도해지 수수료나 불이익이 없고 재가입 가능**하다는 점이 핵심입니다.",qdrant,군 복무자
"출산휴가와 연계하여 3개월 이상 육아휴직을 하는 경우, 결원을 보충할 수 있는 근거 조항은 무엇인가요?","출산휴가와 연계하여 3개월 이상 육아휴직을 하는 경우, 결원을 보충할 수 있는 근거 조항은 법 제48조제7항 단서입니다.","출산휴가와 연계하여 3개월 이상 육아휴직을 하는 경우에는 법 제48조제7항
단서에 따라 정원이 따로 있는 것으로 보고 결원을 보충할 수 있다. <개정 2019. 6. 25.>
[전문개정 2012. 1. 31.]
 

법제처                                                            22                                                       국가법령정보센터
군인사법 시행령",neo4j,법령 확인 민원인
군 복무 중인 사람에게 연금 분할이 어떻게 적용되나요?,"문서에서는 연금 분할이 별도로 결정된 경우, 민법 제839조의2 또는 제843조에 따라 적용된다고 설명하고 있습니다.","제22조제2항에도 불구하고 「민법」 제839조의2 또는 제843조에 따라 연금 분할이 별도
로 결정된 경우에는 그에 따른다.",neo4j,군 복무자
